"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2015,201502,"February 2015",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,486,NA,705,NA,NA,0
"HS",2015,201507,"July 2015",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,1932000,NA,396278,NA,NA,0
"HS",2015,201508,"August 2015",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,6449560,NA,989819,NA,NA,0
"HS",2015,201509,"September 2015",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,4110000,NA,581692,NA,NA,0
"HS",2015,201510,"October 2015",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,599684,NA,82433,NA,NA,0
"HS",2015,201506,"June 2015",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,2058,NA,700,NA,NA,0
"HS",2015,201507,"July 2015",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,1941640,NA,368400,NA,NA,0
"HS",2015,201508,"August 2015",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,7584744,NA,1117300,NA,NA,0
"HS",2015,201509,"September 2015",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,5020676,NA,605700,NA,NA,0
"HS",2015,201510,"October 2015",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,1623100,NA,185600,NA,NA,0
"HS",2015,201507,"July 2015",4,0,1,"Imports",233,"Estonia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,63000,NA,9821,NA,NA,0
"HS",2015,201508,"August 2015",4,0,1,"Imports",233,"Estonia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,434630,NA,37973,NA,NA,0
"HS",2015,201509,"September 2015",4,0,1,"Imports",233,"Estonia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,338752,NA,27839,NA,NA,0
"HS",2015,201510,"October 2015",4,0,1,"Imports",233,"Estonia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,116464,NA,31093,NA,NA,0
"HS",2015,201501,"January 2015",4,0,1,"Imports",276,"Germany",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,56,NA,311,NA,NA,0
"HS",2015,201502,"February 2015",4,0,1,"Imports",276,"Germany",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,216,NA,1051,NA,NA,0
"HS",2015,201503,"March 2015",4,0,1,"Imports",276,"Germany",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,1870,NA,8074,NA,NA,0
"HS",2015,201504,"April 2015",4,0,1,"Imports",276,"Germany",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,2432,NA,10508,NA,NA,0
"HS",2015,201505,"May 2015",4,0,1,"Imports",276,"Germany",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,1112,NA,5224,NA,NA,0
"HS",2015,201511,"November 2015",4,0,1,"Imports",276,"Germany",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,192,NA,694,NA,NA,0
"HS",2015,201512,"December 2015",4,0,1,"Imports",276,"Germany",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,1216,NA,6649,NA,NA,0
"HS",2015,201506,"June 2015",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,111000,NA,97686,NA,NA,0
"HS",2015,201508,"August 2015",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,22600,NA,1879,NA,NA,0
"HS",2015,201509,"September 2015",4,0,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,92390,NA,7293,NA,NA,0
