"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2018,201803,"March 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,38,NA,40,NA,NA,0
"HS",2018,201807,"July 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,37350,NA,2066,NA,NA,0
"HS",2018,201808,"August 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,848340,NA,57471,NA,NA,0
"HS",2018,201809,"September 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,141548,NA,7791,NA,NA,0
"HS",2018,201802,"February 2018",4,0,1,"Imports",56,"Belgium",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,450,NA,1796,NA,NA,0
"HS",2018,201801,"January 2018",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,1100,NA,3782,NA,NA,0
"HS",2018,201802,"February 2018",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,450,NA,1797,NA,NA,0
"HS",2018,201806,"June 2018",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,36400,NA,43576,NA,NA,0
"HS",2018,201807,"July 2018",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,2419800,NA,577653,NA,NA,0
"HS",2018,201808,"August 2018",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,5855070,NA,1253074,NA,NA,0
"HS",2018,201809,"September 2018",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,3651390,NA,576513,NA,NA,0
"HS",2018,201810,"October 2018",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,1410266,NA,235903,NA,NA,0
"HS",2018,201811,"November 2018",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,126000,NA,26675,NA,NA,0
"HS",2018,201804,"April 2018",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,60,NA,100,NA,NA,0
"HS",2018,201806,"June 2018",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,216560,NA,11900,NA,NA,0
"HS",2018,201807,"July 2018",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,3479680,NA,372900,NA,NA,0
"HS",2018,201808,"August 2018",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,12974990,NA,1073100,NA,NA,0
