"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2011,201106,"June 2011",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,3759,NA,6807,NA,NA,0
"HS",2011,201107,"July 2011",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,735022,NA,191636,NA,NA,0
"HS",2011,201108,"August 2011",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,2800400,NA,536989,NA,NA,0
"HS",2011,201109,"September 2011",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,4272100,NA,696167,NA,NA,0
"HS",2011,201110,"October 2011",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,1273000,NA,215358,NA,NA,0
"HS",2011,201111,"November 2011",4,0,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,18592,NA,8719,NA,NA,0
"HS",2011,201107,"July 2011",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,98661,NA,24400,NA,NA,0
"HS",2011,201108,"August 2011",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,916625,NA,105000,NA,NA,0
"HS",2011,201109,"September 2011",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,1182237,NA,132000,NA,NA,0
"HS",2011,201110,"October 2011",4,0,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,338525,NA,41100,NA,NA,0
"HS",2011,201108,"August 2011",4,0,1,"Imports",233,"Estonia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,42000,NA,3155,NA,NA,0
"HS",2011,201109,"September 2011",4,0,1,"Imports",233,"Estonia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,368000,NA,26604,NA,NA,0
"HS",2011,201110,"October 2011",4,0,1,"Imports",233,"Estonia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,807,"Melons (including watermelons) and papaws (papayas); fresh",NA,NA,NA,NA,NA,NA,173000,NA,12089,NA,NA,0
